description,disease
"difficulty swallowing, chest pain, heartburn after meals",GERD
"fever for 4 days, loss of appetite",Typhoid
"throbbing headache, visual disturbances, nausea",Migraine
"vomiting, dehydration, diarrhea",Gastroenteritis
"painful urination, lower abdominal pain, frequent urge to urinate, cloudy urine",UTI
"itchy skin with redness, burning sensation, rash",Fungal Infection
"throbbing headache, visual disturbances, sensitivity to light, nausea",Migraine
"itchy skin with redness, rash",Fungal Infection
"difficulty swallowing, acid reflux, heartburn after meals",GERD
"body aches, sweating, nausea",Malaria
"dehydration, abdominal cramps",Gastroenteritis
"heartburn after meals, difficulty swallowing, chest pain, acid reflux",GERD
"sore throat, sneezing and runny nose, nasal congestion",Common Cold
"sneezing and runny nose, cough, nasal congestion, sore throat",Common Cold
"heartburn after meals, chest pain",GERD
"runny nose, nasal congestion, skin hives",Allergy
"nausea, sweating, body aches",Malaria
"itchy skin with redness, burning sensation",Fungal Infection
"sneezing and itchy eyes, runny nose, nasal congestion",Allergy
"sweating, nausea, high fever with chills, body aches",Malaria
"vomiting, dehydration, diarrhea",Gastroenteritis
"sore throat, sneezing and runny nose, nasal congestion",Common Cold
"headache, fever and tiredness, loss of appetite, itchy blister rash",Chickenpox
"visual disturbances, nausea, sensitivity to light, throbbing headache",Migraine
"nasal congestion, sneezing and itchy eyes, skin hives, runny nose",Allergy
"body aches, nausea, high fever with chills",Malaria
"cloudy urine, painful urination, frequent urge to urinate",UTI
"cough, nasal congestion, sneezing and runny nose",Common Cold
"sneezing and runny nose, cough, nasal congestion, sore throat",Common Cold
"nasal congestion, skin hives, runny nose",Allergy
"nasal congestion, runny nose",Allergy
"sensitivity to light, visual disturbances, throbbing headache",Migraine
"weakness and fatigue, fever for 5 days, headache",Typhoid
"fever and tiredness, headache, itchy blister rash, loss of appetite",Chickenpox
"visual disturbances, sensitivity to light",Migraine
"flaky patches, burning sensation, rash, itchy skin with redness",Fungal Infection
"diarrhea, dehydration",Gastroenteritis
"difficulty swallowing, acid reflux, heartburn after meals, chest pain",GERD
"sneezing and itchy eyes, runny nose, skin hives",Allergy
"sneezing and runny nose, nasal congestion",Common Cold
"flaky patches, burning sensation, itchy skin with redness",Fungal Infection
"fever for 5 days, weakness and fatigue, headache, loss of appetite",Typhoid
"nasal congestion, sneezing and itchy eyes, runny nose",Allergy
"cough, nasal congestion, sneezing and runny nose, sore throat",Common Cold
"sore throat, sneezing and runny nose",Common Cold
"nasal congestion, runny nose, skin hives, sneezing and itchy eyes",Allergy
"nausea, body aches, sweating",Malaria
"itchy blister rash, headache",Chickenpox
"headache, weakness and fatigue",Typhoid
"headache, itchy blister rash, loss of appetite, fever and tiredness",Chickenpox
"nausea, sensitivity to light, visual disturbances, throbbing headache",Migraine
"itchy skin with redness, burning sensation, rash, flaky patches",Fungal Infection
"skin hives, sneezing and itchy eyes, runny nose, nasal congestion",Allergy
"itchy skin with redness, burning sensation, flaky patches, rash",Fungal Infection
"lower abdominal pain, cloudy urine, painful urination, frequent urge to urinate",UTI
"weakness and fatigue, headache, fever for 4 days, loss of appetite",Typhoid
"itchy skin with redness, flaky patches, burning sensation, rash",Fungal Infection
"vomiting, diarrhea, dehydration, abdominal cramps",Gastroenteritis
"high fever with chills, nausea, body aches",Malaria
"heartburn after meals, acid reflux, difficulty swallowing, chest pain",GERD
"nausea, sweating, high fever with chills, body aches",Malaria
"itchy skin with redness, burning sensation",Fungal Infection
"diarrhea, dehydration",Gastroenteritis
"difficulty swallowing, heartburn after meals, chest pain, acid reflux",GERD
"headache, fever and tiredness",Chickenpox
"itchy blister rash, loss of appetite, fever and tiredness, headache",Chickenpox
"nasal congestion, skin hives, sneezing and itchy eyes, runny nose",Allergy
"nasal congestion, skin hives",Allergy
"fever for 1 days, loss of appetite, weakness and fatigue, headache",Typhoid
"cloudy urine, frequent urge to urinate, lower abdominal pain, painful urination",UTI
"frequent urge to urinate, lower abdominal pain, painful urination, cloudy urine",UTI
"loss of appetite, headache, fever for 1 days, weakness and fatigue",Typhoid
"difficulty swallowing, acid reflux, chest pain, heartburn after meals",GERD
"nausea, body aches",Malaria
"loss of appetite, fever for 1 days, headache",Typhoid
"difficulty swallowing, chest pain, heartburn after meals",GERD
"visual disturbances, nausea",Migraine
"sensitivity to light, visual disturbances",Migraine
"lower abdominal pain, cloudy urine, frequent urge to urinate",UTI
"diarrhea, dehydration, vomiting",Gastroenteritis
"headache, fever and tiredness, itchy blister rash",Chickenpox
"sneezing and runny nose, sore throat, nasal congestion",Common Cold
"lower abdominal pain, cloudy urine, painful urination, frequent urge to urinate",UTI
"fever for 4 days, loss of appetite",Typhoid
"nausea, body aches, high fever with chills, sweating",Malaria
"dehydration, vomiting, abdominal cramps, diarrhea",Gastroenteritis
"runny nose, sneezing and itchy eyes",Allergy
"fever and tiredness, headache",Chickenpox
"visual disturbances, nausea",Migraine
"runny nose, sneezing and itchy eyes, nasal congestion, skin hives",Allergy
"difficulty swallowing, heartburn after meals, chest pain, acid reflux",GERD
"skin hives, sneezing and itchy eyes, runny nose, nasal congestion",Allergy
"burning sensation, flaky patches, itchy skin with redness, rash",Fungal Infection
"cough, sneezing and runny nose",Common Cold
"throbbing headache, visual disturbances, sensitivity to light, nausea",Migraine
"chest pain, difficulty swallowing, acid reflux, heartburn after meals",GERD
"nausea, visual disturbances, sensitivity to light, throbbing headache",Migraine
"high fever with chills, body aches, nausea",Malaria
"loss of appetite, fever and tiredness, itchy blister rash, headache",Chickenpox
"dehydration, diarrhea",Gastroenteritis
"difficulty swallowing, chest pain",GERD
"weakness and fatigue, headache, loss of appetite",Typhoid
"diarrhea, vomiting, dehydration",Gastroenteritis
"sore throat, nasal congestion, cough",Common Cold
"visual disturbances, throbbing headache",Migraine
"sensitivity to light, nausea",Migraine
"itchy skin with redness, burning sensation, rash",Fungal Infection
"difficulty swallowing, acid reflux",GERD
"heartburn after meals, difficulty swallowing, chest pain, acid reflux",GERD
"flaky patches, burning sensation, itchy skin with redness",Fungal Infection
"nasal congestion, cough, sneezing and runny nose",Common Cold
"nausea, visual disturbances, sensitivity to light, throbbing headache",Migraine
"dehydration, abdominal cramps, vomiting, diarrhea",Gastroenteritis
"burning sensation, itchy skin with redness",Fungal Infection
"nasal congestion, skin hives, runny nose",Allergy
"headache, loss of appetite, fever and tiredness",Chickenpox
"skin hives, runny nose, sneezing and itchy eyes, nasal congestion",Allergy
"loss of appetite, fever and tiredness, itchy blister rash",Chickenpox
"abdominal cramps, vomiting",Gastroenteritis
"body aches, sweating",Malaria
"sensitivity to light, nausea, throbbing headache, visual disturbances",Migraine
"headache, loss of appetite, weakness and fatigue, fever for 1 days",Typhoid
"skin hives, runny nose",Allergy
"dehydration, vomiting, diarrhea, abdominal cramps",Gastroenteritis
"flaky patches, burning sensation",Fungal Infection
"visual disturbances, sensitivity to light",Migraine
"nausea, body aches, high fever with chills, sweating",Malaria
"dehydration, vomiting, abdominal cramps",Gastroenteritis
"dehydration, abdominal cramps, vomiting, diarrhea",Gastroenteritis
"diarrhea, dehydration, vomiting, abdominal cramps",Gastroenteritis
"fever and tiredness, loss of appetite, headache, itchy blister rash",Chickenpox
"loss of appetite, weakness and fatigue, headache, fever for 5 days",Typhoid
"nausea, throbbing headache",Migraine
"headache, itchy blister rash, loss of appetite, fever and tiredness",Chickenpox
"cloudy urine, frequent urge to urinate, lower abdominal pain",UTI
"vomiting, diarrhea, dehydration, abdominal cramps",Gastroenteritis
"nausea, sensitivity to light, visual disturbances, throbbing headache",Migraine
"fever for 1 days, headache, weakness and fatigue",Typhoid
"vomiting, diarrhea",Gastroenteritis
"rash, burning sensation",Fungal Infection
"abdominal cramps, dehydration",Gastroenteritis
"body aches, sweating, nausea, high fever with chills",Malaria
"headache, fever and tiredness, itchy blister rash, loss of appetite",Chickenpox
"fever and tiredness, itchy blister rash",Chickenpox
"fever for 4 days, headache, weakness and fatigue",Typhoid
"rash, itchy skin with redness, burning sensation, flaky patches",Fungal Infection
"headache, weakness and fatigue, fever for 3 days, loss of appetite",Typhoid
"nausea, visual disturbances, sensitivity to light",Migraine
"loss of appetite, headache",Chickenpox
"fever and tiredness, itchy blister rash, loss of appetite",Chickenpox
"sore throat, nasal congestion, cough, sneezing and runny nose",Common Cold
"fever and tiredness, itchy blister rash, loss of appetite, headache",Chickenpox
"lower abdominal pain, painful urination",UTI
"loss of appetite, itchy blister rash, headache, fever and tiredness",Chickenpox
"lower abdominal pain, frequent urge to urinate",UTI
"nasal congestion, sneezing and runny nose, sore throat",Common Cold
"abdominal cramps, vomiting",Gastroenteritis
"nasal congestion, runny nose, sneezing and itchy eyes, skin hives",Allergy
"itchy skin with redness, burning sensation, rash",Fungal Infection
"nasal congestion, sneezing and itchy eyes",Allergy
"frequent urge to urinate, cloudy urine, painful urination, lower abdominal pain",UTI
"rash, flaky patches, itchy skin with redness",Fungal Infection
"burning sensation, rash",Fungal Infection
"nasal congestion, runny nose, skin hives, sneezing and itchy eyes",Allergy
"sensitivity to light, visual disturbances, throbbing headache",Migraine
"loss of appetite, weakness and fatigue, headache, fever for 1 days",Typhoid
"weakness and fatigue, fever for 1 days",Typhoid
"fever and tiredness, itchy blister rash, headache, loss of appetite",Chickenpox
"frequent urge to urinate, cloudy urine, lower abdominal pain, painful urination",UTI
"headache, itchy blister rash, loss of appetite, fever and tiredness",Chickenpox
"sensitivity to light, visual disturbances",Migraine
"itchy skin with redness, rash",Fungal Infection
"skin hives, runny nose, nasal congestion, sneezing and itchy eyes",Allergy
"fever and tiredness, headache",Chickenpox
"visual disturbances, throbbing headache",Migraine
"sweating, nausea, high fever with chills, body aches",Malaria
"visual disturbances, sensitivity to light",Migraine
"abdominal cramps, dehydration, diarrhea",Gastroenteritis
"visual disturbances, nausea, throbbing headache",Migraine
"sneezing and runny nose, sore throat, nasal congestion, cough",Common Cold
"sore throat, sneezing and runny nose, nasal congestion, cough",Common Cold
"heartburn after meals, chest pain, difficulty swallowing, acid reflux",GERD
"flaky patches, burning sensation, rash",Fungal Infection
"sweating, nausea, body aches, high fever with chills",Malaria
"lower abdominal pain, frequent urge to urinate",UTI
"visual disturbances, sensitivity to light, nausea, throbbing headache",Migraine
"nasal congestion, skin hives",Allergy
"nasal congestion, sneezing and itchy eyes",Allergy
"headache, itchy blister rash",Chickenpox
"chest pain, difficulty swallowing",GERD
"visual disturbances, sensitivity to light, nausea",Migraine
"itchy blister rash, headache",Chickenpox
"itchy blister rash, headache, fever and tiredness",Chickenpox
"acid reflux, chest pain, heartburn after meals, difficulty swallowing",GERD
"sneezing and runny nose, nasal congestion, sore throat, cough",Common Cold
"sweating, nausea",Malaria
"lower abdominal pain, painful urination",UTI
"sensitivity to light, throbbing headache, nausea",Migraine
"visual disturbances, nausea, sensitivity to light, throbbing headache",Migraine
"skin hives, nasal congestion, sneezing and itchy eyes",Allergy
"sore throat, cough, nasal congestion, sneezing and runny nose",Common Cold
"nausea, sweating",Malaria
"diarrhea, abdominal cramps, vomiting, dehydration",Gastroenteritis
"sweating, high fever with chills, nausea",Malaria
"flaky patches, itchy skin with redness, burning sensation",Fungal Infection
"loss of appetite, headache, itchy blister rash",Chickenpox
"frequent urge to urinate, cloudy urine, lower abdominal pain, painful urination",UTI
"weakness and fatigue, loss of appetite",Typhoid
"nasal congestion, runny nose",Allergy
"sweating, nausea, body aches, high fever with chills",Malaria
"cough, sore throat, nasal congestion",Common Cold
"frequent urge to urinate, lower abdominal pain, painful urination",UTI
"itchy blister rash, loss of appetite, fever and tiredness, headache",Chickenpox
"sensitivity to light, nausea, visual disturbances",Migraine
"loss of appetite, itchy blister rash, headache",Chickenpox
"sweating, body aches, nausea, high fever with chills",Malaria
"fever and tiredness, headache, itchy blister rash",Chickenpox
"sore throat, nasal congestion, cough, sneezing and runny nose",Common Cold
"visual disturbances, throbbing headache, nausea",Migraine
"runny nose, sneezing and itchy eyes, nasal congestion",Allergy
"sweating, nausea, body aches",Malaria
"flaky patches, itchy skin with redness, burning sensation, rash",Fungal Infection
"lower abdominal pain, frequent urge to urinate, cloudy urine, painful urination",UTI
"sneezing and itchy eyes, nasal congestion",Allergy
"acid reflux, heartburn after meals, chest pain",GERD
"sweating, body aches, nausea, high fever with chills",Malaria
"itchy blister rash, loss of appetite, fever and tiredness",Chickenpox
"heartburn after meals, acid reflux",GERD
"visual disturbances, nausea",Migraine
"lower abdominal pain, frequent urge to urinate",UTI
"runny nose, nasal congestion",Allergy
"rash, itchy skin with redness, flaky patches, burning sensation",Fungal Infection
"loss of appetite, itchy blister rash",Chickenpox
"chest pain, acid reflux, difficulty swallowing",GERD
"body aches, high fever with chills, sweating, nausea",Malaria
"sweating, high fever with chills, body aches, nausea",Malaria
"weakness and fatigue, fever for 2 days",Typhoid
"high fever with chills, body aches, sweating, nausea",Malaria
"body aches, nausea",Malaria
"heartburn after meals, difficulty swallowing, chest pain, acid reflux",GERD
"sneezing and runny nose, nasal congestion, cough",Common Cold
"lower abdominal pain, frequent urge to urinate, painful urination, cloudy urine",UTI
"difficulty swallowing, heartburn after meals",GERD
"fever for 3 days, weakness and fatigue",Typhoid
"nausea, sweating, body aches, high fever with chills",Malaria
"sore throat, cough, nasal congestion",Common Cold
"nausea, throbbing headache, visual disturbances, sensitivity to light",Migraine
"loss of appetite, fever and tiredness, headache, itchy blister rash",Chickenpox
"fever and tiredness, headache, itchy blister rash, loss of appetite",Chickenpox
"dehydration, diarrhea",Gastroenteritis
"throbbing headache, nausea, visual disturbances",Migraine
"loss of appetite, itchy blister rash, headache",Chickenpox
"rash, flaky patches",Fungal Infection
"flaky patches, burning sensation",Fungal Infection
"lower abdominal pain, frequent urge to urinate, cloudy urine",UTI
"flaky patches, itchy skin with redness",Fungal Infection
"lower abdominal pain, frequent urge to urinate, cloudy urine",UTI
"painful urination, lower abdominal pain",UTI
"abdominal cramps, dehydration",Gastroenteritis
"nasal congestion, sneezing and itchy eyes, skin hives",Allergy
"burning sensation, itchy skin with redness, flaky patches, rash",Fungal Infection
"difficulty swallowing, acid reflux, chest pain, heartburn after meals",GERD
"body aches, nausea",Malaria
"sneezing and itchy eyes, runny nose, nasal congestion",Allergy
"sensitivity to light, visual disturbances, nausea, throbbing headache",Migraine
"nasal congestion, cough, sneezing and runny nose, sore throat",Common Cold
"nasal congestion, sneezing and runny nose, cough",Common Cold
"heartburn after meals, chest pain, acid reflux",GERD
"vomiting, abdominal cramps",Gastroenteritis
"nausea, sensitivity to light",Migraine
"itchy skin with redness, flaky patches, rash, burning sensation",Fungal Infection
"burning sensation, rash, itchy skin with redness",Fungal Infection
"weakness and fatigue, loss of appetite, fever for 1 days, headache",Typhoid
"nasal congestion, runny nose",Allergy
"acid reflux, chest pain",GERD
"burning sensation, itchy skin with redness, flaky patches, rash",Fungal Infection
"rash, flaky patches, burning sensation",Fungal Infection
"abdominal cramps, vomiting, dehydration, diarrhea",Gastroenteritis
"loss of appetite, itchy blister rash, headache",Chickenpox
"fever for 5 days, weakness and fatigue",Typhoid
"dehydration, vomiting, diarrhea, abdominal cramps",Gastroenteritis
"loss of appetite, fever for 3 days",Typhoid
"nausea, visual disturbances, throbbing headache, sensitivity to light",Migraine
"nasal congestion, skin hives, runny nose, sneezing and itchy eyes",Allergy
"weakness and fatigue, fever for 4 days, headache, loss of appetite",Typhoid
"sneezing and runny nose, nasal congestion, cough, sore throat",Common Cold
"throbbing headache, nausea",Migraine
"loss of appetite, headache",Typhoid
"rash, burning sensation",Fungal Infection
"runny nose, sneezing and itchy eyes, skin hives, nasal congestion",Allergy
"nausea, visual disturbances, sensitivity to light, throbbing headache",Migraine
"sneezing and runny nose, cough",Common Cold
"cloudy urine, frequent urge to urinate, lower abdominal pain",UTI
"runny nose, nasal congestion, skin hives",Allergy
"burning sensation, flaky patches",Fungal Infection
"skin hives, sneezing and itchy eyes, runny nose, nasal congestion",Allergy
"loss of appetite, headache, itchy blister rash",Chickenpox
"itchy skin with redness, flaky patches",Fungal Infection
"cloudy urine, lower abdominal pain, painful urination",UTI
"vomiting, abdominal cramps, dehydration",Gastroenteritis
"dehydration, vomiting",Gastroenteritis
"burning sensation, rash, itchy skin with redness",Fungal Infection
"abdominal cramps, dehydration, vomiting",Gastroenteritis
"acid reflux, chest pain, heartburn after meals, difficulty swallowing",GERD
"throbbing headache, nausea, visual disturbances",Migraine
"fever for 5 days, headache, loss of appetite, weakness and fatigue",Typhoid
"frequent urge to urinate, cloudy urine, painful urination, lower abdominal pain",UTI
"nausea, body aches, high fever with chills, sweating",Malaria
"flaky patches, burning sensation, itchy skin with redness",Fungal Infection
"fever for 3 days, headache, loss of appetite",Typhoid
"acid reflux, chest pain",GERD
"weakness and fatigue, loss of appetite",Typhoid
"loss of appetite, itchy blister rash",Chickenpox
"diarrhea, vomiting",Gastroenteritis
"high fever with chills, body aches, nausea, sweating",Malaria
"nasal congestion, cough",Common Cold
"lower abdominal pain, painful urination, cloudy urine, frequent urge to urinate",UTI
"burning sensation, rash",Fungal Infection
"weakness and fatigue, fever for 5 days, loss of appetite, headache",Typhoid
"cloudy urine, painful urination",UTI
"nausea, body aches, sweating, high fever with chills",Malaria
"headache, weakness and fatigue",Typhoid
"acid reflux, difficulty swallowing",GERD
"loss of appetite, headache",Typhoid
"flaky patches, burning sensation",Fungal Infection
"headache, fever for 1 days, loss of appetite, weakness and fatigue",Typhoid
"headache, itchy blister rash",Chickenpox
"chest pain, difficulty swallowing, acid reflux",GERD
"headache, itchy blister rash, fever and tiredness, loss of appetite",Chickenpox
"itchy blister rash, headache, loss of appetite, fever and tiredness",Chickenpox
"high fever with chills, body aches",Malaria
"abdominal cramps, diarrhea, dehydration, vomiting",Gastroenteritis
"frequent urge to urinate, painful urination, cloudy urine",UTI
"loss of appetite, weakness and fatigue, fever for 5 days",Typhoid
"visual disturbances, throbbing headache, nausea",Migraine
"dehydration, vomiting",Gastroenteritis
"burning sensation, rash, flaky patches",Fungal Infection
"high fever with chills, sweating, nausea",Malaria
"headache, fever for 1 days, weakness and fatigue",Typhoid
"body aches, sweating, nausea",Malaria
"frequent urge to urinate, painful urination, lower abdominal pain, cloudy urine",UTI
"runny nose, skin hives",Allergy
"sore throat, cough, sneezing and runny nose, nasal congestion",Common Cold
"acid reflux, difficulty swallowing, heartburn after meals",GERD
"nasal congestion, cough",Common Cold
"burning sensation, itchy skin with redness, flaky patches, rash",Fungal Infection
"acid reflux, difficulty swallowing, chest pain",GERD
"difficulty swallowing, acid reflux, chest pain, heartburn after meals",GERD
"diarrhea, abdominal cramps",Gastroenteritis
"headache, fever and tiredness",Chickenpox
"nausea, sweating",Malaria
"weakness and fatigue, headache, loss of appetite",Typhoid
"sensitivity to light, visual disturbances",Migraine
"frequent urge to urinate, cloudy urine, painful urination",UTI
"acid reflux, chest pain",GERD
"sneezing and itchy eyes, skin hives",Allergy
"sore throat, cough, nasal congestion",Common Cold
"body aches, nausea",Malaria
"loss of appetite, fever and tiredness, headache",Chickenpox
"cloudy urine, painful urination",UTI
"rash, burning sensation, itchy skin with redness",Fungal Infection
"flaky patches, rash, itchy skin with redness, burning sensation",Fungal Infection
"nasal congestion, sore throat, sneezing and runny nose, cough",Common Cold
"burning sensation, flaky patches",Fungal Infection
"throbbing headache, visual disturbances",Migraine
"sneezing and itchy eyes, skin hives",Allergy
"cough, nasal congestion",Common Cold
"sweating, nausea, high fever with chills",Malaria
"runny nose, skin hives",Allergy
"painful urination, cloudy urine, frequent urge to urinate, lower abdominal pain",UTI
"vomiting, abdominal cramps, dehydration",Gastroenteritis
"throbbing headache, nausea, visual disturbances",Migraine
"high fever with chills, sweating, body aches, nausea",Malaria
"painful urination, frequent urge to urinate, cloudy urine",UTI
"nasal congestion, sore throat, cough",Common Cold
"frequent urge to urinate, cloudy urine",UTI
"heartburn after meals, acid reflux, chest pain, difficulty swallowing",GERD
"frequent urge to urinate, lower abdominal pain",UTI
"runny nose, skin hives",Allergy
"painful urination, cloudy urine, frequent urge to urinate, lower abdominal pain",UTI
"diarrhea, vomiting",Gastroenteritis
"sensitivity to light, throbbing headache, nausea",Migraine
"frequent urge to urinate, cloudy urine, lower abdominal pain",UTI
"rash, flaky patches, burning sensation",Fungal Infection
"dehydration, abdominal cramps, diarrhea",Gastroenteritis
"itchy skin with redness, rash",Fungal Infection
"burning sensation, flaky patches",Fungal Infection
"difficulty swallowing, acid reflux",GERD
"throbbing headache, nausea",Migraine
"weakness and fatigue, loss of appetite, fever for 1 days, headache",Typhoid
"throbbing headache, visual disturbances",Migraine
"itchy blister rash, fever and tiredness, loss of appetite",Chickenpox
"weakness and fatigue, loss of appetite, fever for 4 days",Typhoid
"fever for 1 days, headache, weakness and fatigue",Typhoid
"loss of appetite, headache, fever for 4 days",Typhoid
"sweating, nausea",Malaria
"sweating, high fever with chills, nausea, body aches",Malaria
"itchy blister rash, fever and tiredness",Chickenpox
"headache, loss of appetite, weakness and fatigue",Typhoid
"loss of appetite, headache",Typhoid
"loss of appetite, fever and tiredness",Chickenpox
"sneezing and runny nose, sore throat",Common Cold
"sneezing and runny nose, nasal congestion, sore throat, cough",Common Cold
"nausea, sweating, body aches",Malaria
"cloudy urine, frequent urge to urinate, painful urination, lower abdominal pain",UTI
"skin hives, nasal congestion, runny nose",Allergy
"runny nose, skin hives, sneezing and itchy eyes",Allergy
"runny nose, skin hives, sneezing and itchy eyes, nasal congestion",Allergy
"painful urination, frequent urge to urinate",UTI
"lower abdominal pain, cloudy urine",UTI
"sneezing and itchy eyes, runny nose, skin hives",Allergy
"diarrhea, dehydration, abdominal cramps, vomiting",Gastroenteritis
"burning sensation, itchy skin with redness, rash, flaky patches",Fungal Infection
"abdominal cramps, dehydration, vomiting, diarrhea",Gastroenteritis
"fever and tiredness, headache, itchy blister rash, loss of appetite",Chickenpox
"acid reflux, chest pain",GERD
"abdominal cramps, vomiting, diarrhea, dehydration",Gastroenteritis
"nausea, high fever with chills",Malaria
"acid reflux, heartburn after meals, chest pain",GERD
"itchy blister rash, loss of appetite, fever and tiredness, headache",Chickenpox
"nasal congestion, skin hives, runny nose",Allergy
"throbbing headache, visual disturbances",Migraine
"heartburn after meals, acid reflux, chest pain",GERD
"sore throat, sneezing and runny nose, nasal congestion, cough",Common Cold
"rash, itchy skin with redness, flaky patches",Fungal Infection
"headache, itchy blister rash, loss of appetite",Chickenpox
"itchy blister rash, fever and tiredness, loss of appetite, headache",Chickenpox
"flaky patches, itchy skin with redness",Fungal Infection
"acid reflux, heartburn after meals, chest pain, difficulty swallowing",GERD
"sore throat, cough, nasal congestion, sneezing and runny nose",Common Cold
"loss of appetite, fever and tiredness",Chickenpox
"sneezing and runny nose, nasal congestion, cough",Common Cold
"sweating, high fever with chills, body aches, nausea",Malaria
"chest pain, heartburn after meals",GERD
"flaky patches, rash",Fungal Infection
"runny nose, nasal congestion",Allergy
"diarrhea, abdominal cramps",Gastroenteritis
"itchy blister rash, headache",Chickenpox
"sneezing and runny nose, cough",Common Cold
"sneezing and runny nose, nasal congestion, cough",Common Cold
"dehydration, diarrhea, vomiting, abdominal cramps",Gastroenteritis
"nasal congestion, sneezing and itchy eyes",Allergy
"difficulty swallowing, chest pain, heartburn after meals",GERD
"headache, weakness and fatigue, loss of appetite",Typhoid
"headache, loss of appetite",Chickenpox
"skin hives, nasal congestion, sneezing and itchy eyes, runny nose",Allergy
"itchy blister rash, fever and tiredness",Chickenpox
"fever and tiredness, loss of appetite, itchy blister rash",Chickenpox
"chest pain, difficulty swallowing, heartburn after meals, acid reflux",GERD
"nausea, throbbing headache",Migraine
"nausea, sensitivity to light, visual disturbances",Migraine
"sneezing and itchy eyes, skin hives, nasal congestion, runny nose",Allergy
"headache, loss of appetite",Chickenpox
"fever and tiredness, headache, itchy blister rash",Chickenpox
"loss of appetite, fever and tiredness, headache",Chickenpox
"painful urination, cloudy urine",UTI
"fever and tiredness, headache",Chickenpox
"sneezing and itchy eyes, skin hives, nasal congestion, runny nose",Allergy
"nausea, sensitivity to light, throbbing headache, visual disturbances",Migraine
"sneezing and runny nose, cough, nasal congestion",Common Cold
"sneezing and itchy eyes, skin hives",Allergy
"visual disturbances, throbbing headache, nausea",Migraine
"visual disturbances, throbbing headache",Migraine
"runny nose, sneezing and itchy eyes, nasal congestion, skin hives",Allergy
"visual disturbances, sensitivity to light, nausea, throbbing headache",Migraine
"headache, weakness and fatigue",Typhoid
"abdominal cramps, diarrhea",Gastroenteritis
"flaky patches, itchy skin with redness, rash",Fungal Infection
"chest pain, heartburn after meals, difficulty swallowing",GERD
"sensitivity to light, nausea, visual disturbances, throbbing headache",Migraine
"cloudy urine, painful urination",UTI
"fever and tiredness, itchy blister rash",Chickenpox
"nausea, throbbing headache, visual disturbances",Migraine
"nausea, body aches, high fever with chills, sweating",Malaria
"visual disturbances, nausea, throbbing headache, sensitivity to light",Migraine
"runny nose, skin hives, nasal congestion, sneezing and itchy eyes",Allergy
"acid reflux, heartburn after meals",GERD
"sneezing and runny nose, sore throat, cough, nasal congestion",Common Cold
"sneezing and runny nose, sore throat",Common Cold
"itchy blister rash, fever and tiredness, loss of appetite",Chickenpox
"fever and tiredness, headache",Chickenpox
"nausea, throbbing headache",Migraine
"throbbing headache, sensitivity to light",Migraine
"loss of appetite, weakness and fatigue, headache",Typhoid
"throbbing headache, visual disturbances, sensitivity to light",Migraine
"loss of appetite, weakness and fatigue, fever for 4 days, headache",Typhoid
"visual disturbances, throbbing headache, nausea",Migraine
"headache, itchy blister rash",Chickenpox
"body aches, high fever with chills, sweating, nausea",Malaria
"throbbing headache, nausea, visual disturbances",Migraine
"frequent urge to urinate, lower abdominal pain",UTI
"lower abdominal pain, frequent urge to urinate, cloudy urine",UTI
"sore throat, nasal congestion",Common Cold
"nasal congestion, sneezing and itchy eyes",Allergy
"nasal congestion, sore throat, sneezing and runny nose, cough",Common Cold
"loss of appetite, weakness and fatigue, fever for 2 days, headache",Typhoid
"loss of appetite, itchy blister rash",Chickenpox
"acid reflux, chest pain, difficulty swallowing, heartburn after meals",GERD
"nasal congestion, sneezing and runny nose, sore throat, cough",Common Cold
"rash, flaky patches, burning sensation",Fungal Infection
"difficulty swallowing, heartburn after meals",GERD
"fever for 2 days, weakness and fatigue, headache, loss of appetite",Typhoid
"difficulty swallowing, heartburn after meals",GERD
"nasal congestion, sneezing and itchy eyes, skin hives",Allergy
"nasal congestion, runny nose, skin hives",Allergy
"headache, weakness and fatigue, loss of appetite",Typhoid
"headache, itchy blister rash",Chickenpox
"burning sensation, flaky patches",Fungal Infection
"nausea, high fever with chills",Malaria
"runny nose, nasal congestion, sneezing and itchy eyes",Allergy
"nausea, sensitivity to light, throbbing headache",Migraine
"headache, fever and tiredness, loss of appetite, itchy blister rash",Chickenpox
"fever and tiredness, loss of appetite",Chickenpox
"body aches, high fever with chills",Malaria
"diarrhea, vomiting, dehydration",Gastroenteritis
"nasal congestion, sore throat, sneezing and runny nose",Common Cold
"loss of appetite, itchy blister rash",Chickenpox
"chest pain, heartburn after meals, acid reflux",GERD
"runny nose, skin hives, sneezing and itchy eyes",Allergy
"throbbing headache, sensitivity to light, visual disturbances",Migraine
"burning sensation, rash, itchy skin with redness, flaky patches",Fungal Infection
"burning sensation, rash, flaky patches",Fungal Infection
"abdominal cramps, vomiting",Gastroenteritis
"nausea, high fever with chills, sweating",Malaria
"chest pain, difficulty swallowing",GERD
"abdominal cramps, diarrhea, dehydration, vomiting",Gastroenteritis
"nausea, body aches, high fever with chills, sweating",Malaria
"painful urination, frequent urge to urinate, cloudy urine",UTI
"nasal congestion, cough, sore throat",Common Cold
"nausea, sweating, body aches",Malaria
"sweating, body aches, nausea",Malaria
"weakness and fatigue, fever for 5 days",Typhoid
"skin hives, nasal congestion",Allergy
"nausea, high fever with chills, body aches",Malaria
